-	2: 404.title	[...slug]	The page you're looking for can't be found.	Die gewünschte Seite wurde nicht gefunden.	
+	40: questions.pointer-acceleration.body	Readme	Mac Mouse Fix doesn't let you turn off the pointer acceleration, but if you're on **macOS 14 Sonoma** or later, you can turn off the pointer acceleration under `System Settings > Mouse > Advanced... > Pointer acceleration`.\n\nI plan to add really nice ways to improve pointer acceleration in the future, but I'm not sure when that's coming.	Mac Mouse Fix erlaubt dir nicht, die Zeigerbeschleunigung auszuschalten, aber wenn du **macOS 14 Sonoma** oder neuer verwendest, kannst du die Zeigerbeschleunigung unter `Systemeinstellungen > Maus > Erweitert … > Zeigerbeschleunigung` ausschalten.\n\nIch plane, in Zukunft wirklich gute Möglichkeiten zur Verbesserung der Zeigerbeschleunigung hinzuzufügen, aber ich bin mir nicht sicher, wann das kommt.	
-	42: questions.version-2-vs-3.body	Readme	**Monetization:** <br>\nMac Mouse Fix 2 is 100% free, and I plan to keep supporting it. <br>\nMac Mouse Fix 3 is free for 30 days, then costs a few bucks to own. \n\n**Features:** <br>\nHere's a [feature comparison]({url_1}). I wrote it shortly after Mac Mouse Fix 3 released – so it may be slightly out of date. <br>\nYou can also download Mac Mouse Fix [2]({url_2}) and [3]({url_3}) for free to evaluate them yourself!	**Monetarisierung:**<br>\nMac Mouse Fix 2 ist 100% kostenlos, und ich plane, es weiterhin zu unterstützen. <br>\nMac Mouse Fix 3 ist 30 Tage lang kostenlos, danach kostet es ein paar Euro zum Besitzen.\n\n**Funktionen:** <br>\nHier ist ein [Funktionsvergleich]({url_1}). Den habe ich geschrieben kurz nachdem Mac Mouse Fix 3 erschienen ist – er könnte also leicht veraltet sein. <br>\nDu kannst auch Mac Mouse Fix [2]({url_2}) und [3]({url_3}) kostenlos herunterladen, um sie selbst zu testen!	
+	42: questions.version-2-vs-3.body	Readme	**Monetization:** <br>\nMac Mouse Fix 2 is 100% free, and I plan to keep supporting it. <br>\nMac Mouse Fix 3 is free for 30 days, then costs a few bucks to own. \n\n**Features:** <br>\nHere's a [feature comparison]({url_1}). I wrote it shortly after Mac Mouse Fix 3 released – so it may be slightly out of date. <br>\nYou can also download Mac Mouse Fix [2]({url_2}) and [3]({url_3}) for free to evaluate them yourself!	**Monetarisierung:** <br>\nMac Mouse Fix 2 ist 100% kostenlos und ich plane, es weiterhin zu unterstützen. <br>\nMac Mouse Fix 3 ist 30 Tage kostenlos und kostet dann ein paar Euro.\n\n**Funktionen:** <br>\nHier ist ein [Funktionsvergleich]({url_1}). Ich habe ihn kurz nach der Veröffentlichung von Mac Mouse Fix 3 geschrieben – er könnte also etwas veraltet sein. <br>\nDu kannst auch Mac Mouse Fix [2]({url_2}) und [3]({url_3}) kostenlos herunterladen, um sie selbst zu testen!	
-	44: questions.data-collection.body	Readme	Mac Mouse Fix does not have ads, and it does not collect any personal information about you.\n\nHowever, at the moment that you buy the app, the sales provider Gumroad.com collects some personal info, such as your email address, and this info is visible to me. This is necessary to be able to issue refunds, send a license key to your email, etc. I cannot turn this off. To learn more about the data collected when you buy Mac Mouse Fix, see the [Gumroad Privacy Policy]({url}).	Mac Mouse Fix hat keine Werbung und sammelt keine persönlichen Informationen über dich.\n\nJedoch sammelt der Verkaufsanbieter Gumroad.com im Moment des Kaufs von Mac Mouse Fix einige persönliche Informationen, wie z.B. deine E-Mail-Adresse. Diese Informationen sind für mich sichtbar. Die Informationen sind notwendig, um Rückerstattungen ausstellen zu können, dir einen Lizenzschlüssel per E-Mail zu senden, usw. Ich kann diese Datensammlung nicht deaktivieren. Um mehr über die gesammelten Daten beim Kauf von Mac Mouse Fix zu erfahren, siehe die [Datenschutzrichtlinie]({url}) von Gumroad.\n	
+	44: questions.data-collection.body	Readme	Mac Mouse Fix does not have ads, and it does not collect any personal information about you.\n\nHowever, at the moment that you buy the app, the sales provider Gumroad.com collects some personal info, such as your email address, and this info is visible to me. This is necessary to be able to issue refunds, send a license key to your email, etc. I cannot turn this off. To learn more about the data collected when you buy Mac Mouse Fix, see the [Gumroad Privacy Policy]({url}).	Mac Mouse Fix hat keine Werbung und sammelt keine persönlichen Informationen über dich.\n\nZum Zeitpunkt des Kaufs der App sammelt der Verkaufsanbieter Gumroad.com jedoch einige persönliche Daten, wie deine E-Mail-Adresse, und diese Informationen sind für mich sichtbar. Dies ist notwendig, um Rückerstattungen ausstellen zu können, einen Lizenzschlüssel an deine E-Mail zu senden usw. Ich kann dies nicht deaktivieren. Um mehr über die beim Kauf von Mac Mouse Fix gesammelten Daten zu erfahren, siehe die [Gumroad-Datenschutzrichtlinie]({url}).	
-	46: questions.license-sharing.body	Readme	Your license works on **all your Macs**. <br>\nThe goal is that you can just buy a license, activate it, and never have to worry about it again. <br>\nIf you log in with the same Apple Account, the license will even sync automatically to your other devices via iCloud!\n\nIf you encounter problems activating your license, you can [send me an email]({url}). <br>\nI sometimes take a while to answer. I'm sorry about this. But I will get back to you!\n\nThere is one restriction: <br>\nLicenses are not meant to be shared publicly. One license is meant for one person. Publicly shared licenses might be invalidated. (Sharing with your mom is ok.)	Deine Lizenz funktioniert auf **all deinen Macs**. <br>\nDas Ziel ist es, dass du eine Lizenz kaufen kannst, sie aktivierst, und dir dann keine Gedanken mehr darüber machen musst. <br>\nWenn du dich mit demselben Apple Account anmeldest, wird die Lizenz sogar automatisch über iCloud mit deinen anderen Geräten synchronisiert!\n\nFalls du Probleme bei der Aktivierung deiner Lizenz hast, kannst du [eine E-Mail schreiben]({url}). <br>\nIch brauche manchmal eine Weile zum Antworten. Das tut mir leid. Aber ich melde mich zurück! \n\nEs gibt eine Einschränkung: <br>\nLizenzen sind nicht dafür gedacht, öffentlich verteilt zu werden. Eine Lizenz ist für eine Person gedacht. Öffentlich geteilte Lizenzen könnten ungültig gemacht werden. (Mit deiner Mama teilen ist ok.)	
+	46: questions.license-sharing.body	Readme	Your license works on **all your Macs**. <br>\nThe goal is that you can just buy a license, activate it, and never have to worry about it again. <br>\nIf you log in with the same Apple Account, the license will even sync automatically to your other devices via iCloud!\n\nIf you encounter problems activating your license, you can [send me an email]({url}). <br>\nI sometimes take a while to answer. I'm sorry about this. But I will get back to you!\n\nThere is one restriction: <br>\nLicenses are not meant to be shared publicly. One license is meant for one person. Publicly shared licenses might be invalidated. (Sharing with your mom is ok.)	Deine Lizenz funktioniert auf **all deinen Macs**. <br>\nDas Ziel ist, dass du einfach eine Lizenz kaufst, sie aktivierst und dir nie wieder Gedanken darüber machen musst. <br>\nWenn du dich mit demselben Apple Account anmeldest, synchronisiert sich die Lizenz sogar automatisch über iCloud mit deinen anderen Geräten!\n\nWenn du Probleme bei der Aktivierung deiner Lizenz hast, kannst du mir [eine E-Mail schreiben]({url}). <br>\nIch brauche manchmal eine Weile zum Antworten. Das tut mir leid. Aber ich werde mich bei dir melden!\n\nEs gibt eine Einschränkung: <br>\nLizenzen sind nicht dazu gedacht, öffentlich geteilt zu werden. Eine Lizenz ist für eine Person gedacht. Öffentlich geteilte Lizenzen können ungültig gemacht werden. (Mit deiner Mama teilen ist ok.)	
-	47: questions.license-future-versions	Readme	**Will my license work with future versions?**	**Funktioniert meine Lizenz mit künftigen Versionen?**	
+	47: questions.license-future-versions	Readme	**Will my license work with future versions?**	**Wird meine Lizenz mit zukünftigen Versionen funktionieren?**	
-	48: questions.license-future-versions.body	Readme	Your license covers all Mac Mouse Fix 3.x versions.\n\nFuture versions, like 4.0, may require a new purchase, but I'll try to avoid this, unless it's necessary to support the continued development of the app.	Deine Lizenz deckt alle Mac Mouse Fix 3.x Versionen ab. \n\nKünftige Versionen, wie 4.0, könnten einen neuen Kauf erfordern, aber ich werde versuchen, dies zu vermeiden, es sei denn es ist notwendig, um die Weiterentwicklung der App zu unterstützen.	
+	48: questions.license-future-versions.body	Readme	Your license covers all Mac Mouse Fix 3.x versions.\n\nFuture versions, like 4.0, may require a new purchase, but I'll try to avoid this, unless it's necessary to support the continued development of the app.	Deine Lizenz deckt alle Mac Mouse Fix 3.x-Versionen ab.\n\nZukünftige Versionen wie 4.0 könnten einen neuen Kauf erfordern, aber ich werde versuchen, dies zu vermeiden, es sei denn, es ist notwendig, um die weitere Entwicklung der App zu unterstützen.	
-	50: questions.refund-policy.body	Readme	There is no official refund policy, but the app is free for 30 days.\n\nIf you experience any problems after buying the app, just reach out to me, and I will do my best to help.	Es gibt keine offizielle Rückerstattungsrichtlinie, aber die App ist 30 Tage lang kostenlos.\n\nWenn du nach dem Kauf der App Probleme hast, kontaktiere mich einfach, und ich werde mein Bestes geben zu helfen.	
+	50: questions.refund-policy.body	Readme	There is no official refund policy, but the app is free for 30 days.\n\nIf you experience any problems after buying the app, just reach out to me, and I will do my best to help.	Es gibt keine offizielle Rückerstattungsrichtlinie, aber die App ist 30 Tage kostenlos.\n\nWenn du nach dem Kauf der App Probleme hast, wende dich einfach an mich und ich werde mein Bestes tun zu helfen.	
-	51: questions.open-source	Readme	**Will Mac Mouse Fix still be Open Source now that it's monetized?**	**Wird Mac Mouse Fix weiterhin Open Source sein, jetzt da es monetarisiert ist?**	
+	51: questions.open-source	Readme	**Will Mac Mouse Fix still be Open Source now that it's monetized?**	**Wird Mac Mouse Fix weiterhin Open Source sein, jetzt wo es monetarisiert ist?**	
-	52: questions.open-source.body	Readme	Yes, Mac Mouse Fix will still be open source!\n\nI encourage anyone to use the source code of Mac Mouse Fix in their own projects, as long as they don't release a simple copy of Mac Mouse Fix.\n\nLearn about the details in the [MMF License]({url}) which Mac Mouse Fix 3 and later are licensed under.	Ja, Mac Mouse Fix wird weiterhin Open Source sein!\n\nIch ermutige jeden, den Quellcode von Mac Mouse Fix in eigenen Projekten zu verwenden, solange sie keine einfache Kopie von Mac Mouse Fix veröffentlichen.\n\nErfahre mehr über die Details in der [MMF License]({url}), unter der Mac Mouse Fix 3 und spätere Versionen lizenziert sind.\n	
+	52: questions.open-source.body	Readme	Yes, Mac Mouse Fix will still be open source!\n\nI encourage anyone to use the source code of Mac Mouse Fix in their own projects, as long as they don't release a simple copy of Mac Mouse Fix.\n\nLearn about the details in the [MMF License]({url}) which Mac Mouse Fix 3 and later are licensed under.	Ja, Mac Mouse Fix wird weiterhin Open Source sein!\n\nIch ermutige jeden, den Quellcode von Mac Mouse Fix in eigenen Projekten zu verwenden, solange sie keine einfache Kopie von Mac Mouse Fix veröffentlichen.\n\nErfahre mehr über die Details in der [MMF-Lizenz]({url}), unter der Mac Mouse Fix 3 und später lizenziert sind.	
-	54: questions.free-for-donators.body	Readme	Yes! If you donated via PayPal, click [here]({url}) to receive a **free license**.	Ja! Wenn du via PayPal gespendet hast, klicke [hier]({url}) um eine **kostenlose Lizenz** zu erhalten.	
+	54: questions.free-for-donators.body	Readme	Yes! If you donated via PayPal, click [here]({url}) to receive a **free license**.	Ja! Wenn du über PayPal gespendet hast, klicke [hier]({url}), um eine **kostenlose Lizenz** zu erhalten.	
-	55: contributing	Readme	## How you can contribute\n\nThere are several ways to help the project.<br>\nCheck out the [Acknowledgements]({url}) for more info on who has already contributed!	## Wie du beitragen kannst\n\nEs gibt einige Möglichkeiten, das Projekt zu unterstützen.<br>\nSchau dir die [Danksagungen]({url}) an, um mehr darüber zu erfahren, wer bereits beigetragen hat!	
+	55: contributing	Readme	## How you can contribute\n\nThere are several ways to help the project.<br>\nCheck out the [Acknowledgements]({url}) for more info on who has already contributed!	## Wie du beitragen kannst\n\nEs gibt mehrere Möglichkeiten, dem Projekt zu helfen.<br>\nSchau dir die [Danksagungen]({url}) an, um mehr darüber zu erfahren, wer bereits beigetragen hat!	
-	57: contributing.feedback.body	Readme	You can help by sharing your **ideas**, **issues** and **feedback** via the [Feedback Assistant]({url}).	Du kannst helfen, indem du deine **Ideen**, **Probleme** und **Rückmeldungen** über den [Feedback-Assistenten]({url}) teilst.	
+	57: contributing.feedback.body	Readme	You can help by sharing your **ideas**, **issues** and **feedback** via the [Feedback Assistant]({url}).	Du kannst helfen, indem du deine **Ideen**, **Probleme** und **Feedback** über den [Feedback-Assistenten]({url}) teilst.	
-	59: contributing.money.body	Readme	I hope to be able to sustain myself financially through Mac Mouse Fix. That way, I can keep improving and working on the app. If you would like to help, you can:\n1. Buy Mac Mouse Fix by clicking the button in the app, or clicking [here]({url_1}).\n2. [Tip me]({url_2}) on PayPal. I don't get a lot of money from this, but it's always cute and motivating to get a donation.\n3. [Sponsor me]({url_3}) on GitHub. A monthly sponsorship is a great way to support the project and help me have a more stable income.	Ich hoffe, mich finanziell durch Mac Mouse Fix erhalten zu können. So kann ich weiter an dem Projekt arbeiten und es verbessern. Wenn du dabei helfen möchtest, kannst du:\n1. Mac Mouse Fix kaufen, indem du auf den Button in der App klickst oder [hier]({url_1}).\n2. Mir auf PayPal ein [Trinkgeld]({url_2}) geben. Ich verdiene nicht viel Geld damit, aber es ist immer nett und motivierend, eine Spende zu erhalten.\n3. Mich auf GitHub [sponsorn]({url_3}). Ein monatlicher Beitrag ist eine großartige Möglichkeit, das Projekt zu unterstützen und mir dabei zu helfen, ein stabileres Einkommen zu haben.	
